epoch,train_loss,train_acc,val_loss,val_top1,val_top5,lr,time_s
1,4.5572,1.68,4.4696,2.62,9.94,0.028000,41.7
2,4.4165,3.35,4.2446,5.40,20.36,0.046000,40.8
3,4.1074,7.43,3.7626,12.36,33.56,0.064000,40.3
4,3.7318,12.37,3.4239,17.20,45.02,0.082000,40.8
5,3.3579,18.20,3.1290,22.64,52.32,0.100000,41.0
6,2.9713,24.84,2.8990,28.12,59.94,0.099994,41.1
7,2.5327,33.28,2.5791,32.60,66.48,0.099974,41.1
8,2.2216,39.78,2.2273,40.78,73.44,0.099942,41.0
9,2.0222,44.60,2.5624,36.08,69.02,0.099896,40.5
10,1.8696,48.38,2.1088,44.70,76.64,0.099838,40.6
11,1.7824,50.14,2.2814,41.12,74.60,0.099767,40.9
12,1.6828,52.98,1.9247,47.76,79.62,0.099682,40.3
13,1.6183,54.47,1.9484,47.72,79.30,0.099585,40.1
14,1.5651,56.02,1.8986,48.18,79.96,0.099475,40.0
15,1.5288,57.09,1.9847,46.80,78.88,0.099353,40.0
16,1.4906,57.91,1.7925,50.88,82.08,0.099217,40.0
17,1.4680,58.28,1.8441,49.58,80.98,0.099069,40.0
18,1.4488,59.21,1.9179,48.10,80.22,0.098907,40.0
19,1.4357,59.44,1.7857,50.62,82.44,0.098734,40.2
20,1.4084,60.30,2.1660,44.02,76.64,0.098547,40.9
21,1.4034,60.44,1.7798,52.94,81.42,0.098348,40.1
22,1.3885,60.85,1.8859,50.10,80.92,0.098136,40.0
23,1.3767,61.31,1.8773,49.66,79.66,0.097912,40.0
24,1.3518,61.71,1.6900,53.16,83.20,0.097676,40.0
