epoch,train_loss,train_acc,val_loss,val_top1,val_top5,lr,time_s
1,4.5572,1.68,4.4696,2.62,9.94,0.028000,41.5
2,4.4165,3.35,4.2446,5.40,20.36,0.046000,41.1
3,4.1074,7.43,3.7626,12.36,33.56,0.064000,41.2
4,3.7318,12.37,3.4239,17.20,45.02,0.082000,41.3
5,3.3579,18.20,3.1290,22.64,52.32,0.100000,41.2
6,2.9713,24.84,2.8990,28.12,59.94,0.097553,41.0
7,2.5180,33.59,2.5538,33.04,66.88,0.090451,41.0
8,2.1817,40.85,2.1673,41.76,74.38,0.079389,41.1
9,1.9227,46.72,2.3778,39.70,72.50,0.065451,41.4
10,1.6923,52.31,1.9342,48.64,79.90,0.050000,41.0
11,1.4884,57.53,1.8424,49.60,81.06,0.034549,41.2
12,1.2856,63.14,1.5103,57.82,85.86,0.020611,41.3
13,1.0947,68.31,1.2986,62.72,89.26,0.009549,41.3
14,0.9438,72.80,1.1918,65.36,90.36,0.002447,41.3
15,0.8434,76.05,1.1448,66.22,91.24,0.000000,41.0
