epoch,train_loss,train_acc,val_loss,val_top1,val_top5,lr,time_s
1,4.5120,2.53,4.2790,5.62,18.72,0.028000,50.1
2,4.2745,5.70,3.9528,8.98,29.96,0.046000,49.8
3,4.0384,8.87,3.6680,13.98,37.62,0.064000,49.8
4,3.8297,12.02,3.3246,19.44,46.34,0.082000,49.8
5,3.6186,15.62,2.9989,24.32,55.68,0.100000,49.4
6,3.3563,20.33,2.9278,27.64,57.90,0.097553,49.4
7,3.0906,25.73,2.5917,33.44,64.76,0.090451,49.4
8,2.8508,30.69,2.3969,37.32,69.74,0.079389,49.6
9,2.5986,36.04,2.0698,44.04,76.24,0.065451,49.5
10,2.4116,40.60,1.7905,50.70,82.04,0.050000,49.8
11,2.2494,44.51,1.7002,52.46,83.70,0.034549,49.8
12,2.1415,47.80,1.5086,57.58,86.86,0.020611,49.9
13,2.0056,51.32,1.3630,61.62,88.62,0.009549,50.0
14,1.8232,55.74,1.2730,64.26,90.24,0.002447,50.1
15,1.7846,57.25,1.2207,64.64,90.94,0.000000,50.0
